縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
花蓮縣鳳林鎮,50.0,0.0,30.0,1640.0,1.0,0.0,1.0,14.0,16.0,1720.0,6.2
臺北市松山區,95.0,590.0,180.0,5341.0,1.0,5.0,2.0,10.0,18.0,6206.0,5.6
桃園市觀音區,0.0,200.0,300.0,100.0,1.0,4.0,4.0,2.0,11.0,600.0,9.1
花蓮縣瑞穗鄉,50.0,90.0,280.0,495.0,1.0,3.0,5.0,7.0,16.0,915.0,6.2
花蓮縣玉里鎮,35.0,95.0,95.0,180.0,1.0,3.0,5.0,3.0,12.0,405.0,8.3
苗栗縣後龍鎮,100.0,1770.0,2360.0,1490.0,1.0,8.0,10.0,7.0,26.0,5720.0,3.8
苗栗縣通霄鎮,150.0,0.0,460.0,200.0,1.0,0.0,4.0,1.0,6.0,810.0,16.7
臺南市安南區,45.0,221.0,592.0,21345.0,1.0,1.0,2.0,37.0,41.0,22203.0,2.4
花蓮縣新城鄉,71.0,176.0,282.0,652.0,1.0,3.0,4.0,11.0,19.0,1181.0,5.3
花蓮縣富里鄉,50.0,50.0,270.0,330.0,1.0,1.0,5.0,5.0,12.0,700.0,8.3
臺中市烏日區,200.0,1700.0,4250.0,800.0,1.0,4.0,4.0,4.0,13.0,6950.0,7.7
臺南市左鎮區,40.0,180.0,350.0,0.0,1.0,2.0,3.0,0.0,6.0,570.0,16.7
臺中市南屯區,60.0,360.0,100.0,300.0,1.0,5.0,2.0,2.0,10.0,820.0,10.0
雲林縣斗南鎮,3079.0,1385.0,0.0,792.0,1.0,3.0,0.0,3.0,7.0,5256.0,14.3
雲林縣林內鄉,30.0,100.0,0.0,985.0,1.0,1.0,0.0,12.0,14.0,1115.0,7.1
臺中市后里區,579.0,100.0,0.0,10316.0,1.0,1.0,0.0,20.0,22.0,10995.0,4.5
高雄市鼓山區,364.0,1384.0,3411.0,5166.0,1.0,2.0,4.0,6.0,13.0,10325.0,7.7
屏東縣霧臺鄉,200.0,280.0,0.0,450.0,1.0,2.0,0.0,4.0,7.0,930.0,14.3
新北市土城區,975.0,1145.0,2337.0,9394.0,1.0,4.0,4.0,16.0,25.0,13851.0,4.0
屏東縣鹽埔鄉,400.0,0.0,280.0,850.0,1.0,0.0,1.0,2.0,4.0,1530.0,25.0
宜蘭縣礁溪鄉,59.0,224.0,591.0,3831.0,1.0,2.0,2.0,11.0,16.0,4705.0,6.2
屏東縣高樹鄉,0.0,0.0,0.0,150.0,1.0,0.0,0.0,3.0,4.0,150.0,25.0
彰化縣芬園鄉,100.0,0.0,700.0,200.0,1.0,0.0,3.0,2.0,6.0,1000.0,16.7
嘉義縣大埔鄉,13.0,71.0,123.0,923.0,1.0,2.0,1.0,10.0,14.0,1130.0,7.1
屏東縣來義鄉,100.0,100.0,200.0,800.0,1.0,1.0,1.0,4.0,7.0,1200.0,14.3
新北市三芝區,24.0,2351.0,45.0,727.0,1.0,5.0,1.0,2.0,9.0,3147.0,11.1
嘉義縣民雄鄉,55.0,396.0,425.0,4621.0,1.0,5.0,6.0,37.0,49.0,5497.0,2.0
嘉義縣水上鄉,600.0,1350.0,360.0,6700.0,1.0,2.0,2.0,12.0,17.0,9010.0,5.9
嘉義縣新港鄉,2000.0,1288.0,400.0,8659.0,1.0,6.0,1.0,12.0,20.0,12347.0,5.0
屏東縣枋寮鄉,189.0,320.0,1136.0,926.0,1.0,1.0,1.0,4.0,7.0,2571.0,14.3
嘉義市東區,150.0,270.0,450.0,5867.0,1.0,1.0,1.0,20.0,23.0,6737.0,4.3
屏東縣獅子鄉,40.0,50.0,190.0,40.0,1.0,2.0,4.0,1.0,8.0,320.0,12.5
宜蘭縣五結鄉,51.0,388.0,0.0,2269.0,1.0,3.0,0.0,13.0,17.0,2708.0,5.9
屏東縣潮州鎮,240.0,1126.0,585.0,3040.0,1.0,1.0,2.0,7.0,11.0,4991.0,9.1
新北市樹林區,807.0,1452.0,1013.0,11572.0,1.0,2.0,3.0,14.0,20.0,14844.0,5.0
彰化縣和美鎮,150.0,60.0,0.0,5310.0,1.0,1.0,0.0,33.0,35.0,5520.0,2.9
新竹縣北埔鄉,20.0,0.0,2040.0,115.0,1.0,0.0,5.0,2.0,8.0,2175.0,12.5
南投縣水里鄉,500.0,2870.0,2650.0,500.0,1.0,10.0,9.0,5.0,25.0,6520.0,4.0
屏東縣泰武鄉,200.0,100.0,600.0,400.0,1.0,1.0,3.0,2.0,7.0,1300.0,14.3
新北市淡水區,72.0,1959.0,6979.0,6990.0,1.0,5.0,10.0,15.0,31.0,16000.0,3.2
新北市烏來區,152.0,0.0,495.0,0.0,1.0,0.0,6.0,0.0,7.0,647.0,14.3
新北市林口區,82.0,3834.0,1602.0,16847.0,1.0,2.0,2.0,21.0,26.0,22365.0,3.8
新竹市東區,937.0,10105.0,15330.0,42610.0,1.0,4.0,6.0,19.0,30.0,68982.0,3.3
嘉義縣阿里山鄉,0.0,70.0,200.0,690.0,0.0,2.0,3.0,9.0,14.0,960.0,0.0
苗栗縣苗栗市,0.0,15.0,440.0,2410.0,0.0,1.0,3.0,21.0,25.0,2865.0,0.0
金門縣金沙鎮,0.0,0.0,0.0,450.0,0.0,0.0,0.0,9.0,9.0,450.0,0.0
宜蘭縣三星鄉,0.0,945.0,106.0,751.0,0.0,6.0,1.0,7.0,14.0,1802.0,0.0
嘉義縣鹿草鄉,0.0,0.0,0.0,4120.0,0.0,0.0,0.0,12.0,12.0,4120.0,0.0
苗栗縣造橋鄉,0.0,0.0,210.0,600.0,0.0,0.0,2.0,2.0,4.0,810.0,0.0
金門縣金寧鄉,0.0,0.0,0.0,400.0,0.0,0.0,0.0,7.0,7.0,400.0,0.0
嘉義縣義竹鄉,0.0,0.0,200.0,3460.0,0.0,0.0,1.0,13.0,14.0,3660.0,0.0
苗栗縣頭屋鄉,0.0,0.0,500.0,0.0,0.0,0.0,5.0,0.0,5.0,500.0,0.0
連江縣北竿鄉,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0
金門縣金城鎮,0.0,0.0,0.0,790.0,0.0,0.0,0.0,7.0,7.0,790.0,0.0
連江縣南竿鄉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
連江縣東引鄉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
金門縣烏坵鄉,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,2.0,50.0,0.0
金門縣烈嶼鄉,0.0,0.0,0.0,250.0,0.0,0.0,0.0,6.0,6.0,250.0,0.0
連江縣莒光鄉,0.0,0.0,0.0,550.0,0.0,0.0,0.0,7.0,7.0,550.0,0.0
新竹縣橫山鄉,0.0,140.0,1015.0,0.0,0.0,3.0,7.0,0.0,10.0,1155.0,0.0
苗栗縣苑裡鎮,0.0,0.0,0.0,6150.0,0.0,0.0,0.0,8.0,8.0,6150.0,0.0
花蓮縣花蓮市,0.0,324.0,2047.0,4248.0,0.0,3.0,8.0,17.0,28.0,6619.0,0.0
花蓮縣光復鄉,0.0,650.0,400.0,680.0,0.0,5.0,4.0,5.0,14.0,1730.0,0.0
花蓮縣卓溪鄉,0.0,300.0,300.0,150.0,0.0,4.0,6.0,2.0,12.0,750.0,0.0
屏東縣東港鎮,0.0,1561.0,1050.0,0.0,0.0,5.0,3.0,0.0,8.0,2611.0,0.0
屏東縣春日鄉,0.0,320.0,250.0,410.0,0.0,2.0,2.0,4.0,8.0,980.0,0.0
屏東縣新埤鄉,0.0,0.0,0.0,700.0,0.0,0.0,0.0,2.0,2.0,700.0,0.0
屏東縣新園鄉,0.0,50.0,100.0,610.0,0.0,1.0,1.0,6.0,8.0,760.0,0.0
屏東縣恆春鎮,0.0,1820.0,0.0,430.0,0.0,3.0,0.0,1.0,4.0,2250.0,0.0
屏東縣崁頂鄉,0.0,200.0,0.0,550.0,0.0,1.0,0.0,3.0,4.0,750.0,0.0
花蓮縣秀林鄉,0.0,160.0,170.0,710.0,0.0,2.0,2.0,6.0,10.0,1040.0,0.0
花蓮縣萬榮鄉,0.0,0.0,320.0,660.0,0.0,0.0,2.0,8.0,10.0,980.0,0.0
宜蘭縣壯圍鄉,0.0,945.0,0.0,1480.0,0.0,3.0,0.0,13.0,16.0,2425.0,0.0
屏東縣內埔鄉,0.0,120.0,0.0,1900.0,0.0,1.0,0.0,13.0,14.0,2020.0,0.0
屏東縣佳冬鄉,0.0,0.0,0.0,739.0,0.0,0.0,0.0,3.0,3.0,739.0,0.0
苗栗縣三義鄉,0.0,0.0,0.0,790.0,0.0,0.0,0.0,8.0,8.0,790.0,0.0
苗栗縣公館鄉,0.0,0.0,300.0,300.0,0.0,0.0,1.0,1.0,2.0,600.0,0.0
雲林縣二崙鄉,0.0,0.0,500.0,4400.0,0.0,0.0,1.0,7.0,8.0,4900.0,0.0
苗栗縣卓蘭鎮,0.0,1150.0,300.0,400.0,0.0,6.0,2.0,3.0,11.0,1850.0,0.0
屏東縣九如鄉,0.0,0.0,129.0,200.0,0.0,0.0,1.0,2.0,3.0,329.0,0.0
屏東縣三地門鄉,0.0,0.0,630.0,440.0,0.0,0.0,7.0,8.0,15.0,1070.0,0.0
宜蘭縣羅東鎮,0.0,0.0,174.0,5699.0,0.0,0.0,1.0,23.0,24.0,5873.0,0.0
金門縣金湖鎮,0.0,0.0,0.0,400.0,0.0,0.0,0.0,9.0,9.0,400.0,0.0
雲林縣崙背鄉,0.0,0.0,0.0,5424.0,0.0,0.0,0.0,14.0,14.0,5424.0,0.0
雲林縣元長鄉,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,11.0,11.0,2800.0,0.0
高雄市湖內區,0.0,0.0,500.0,330.0,0.0,0.0,3.0,3.0,6.0,830.0,0.0
高雄市彌陀區,0.0,0.0,100.0,900.0,0.0,0.0,1.0,6.0,7.0,1000.0,0.0
高雄市新興區,0.0,0.0,1091.0,5364.0,0.0,0.0,1.0,5.0,6.0,6455.0,0.0
嘉義縣大林鎮,0.0,1010.0,1300.0,3980.0,0.0,3.0,2.0,6.0,11.0,6290.0,0.0
高雄市旗津區,0.0,0.0,1820.0,0.0,0.0,0.0,5.0,0.0,5.0,1820.0,0.0
高雄市林園區,0.0,1390.0,500.0,6620.0,0.0,2.0,1.0,6.0,9.0,8510.0,0.0
