district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
佛祖廟,2,124,1,POINT (121.921149 25.105105),62.0,50.0
信一路,2,142,1,POINT (121.7553 25.1285),71.0,50.0
北投區,17,1523,6,POINT (121.5165 25.1045),813.0,46.61851608667104
大安區,16,2555,7,POINT (121.5388 25.0112),1408.0,44.89236790606654
新北市新店區,31,38369,15,POINT (121.5532 24.9022),21835.0,43.092079543381374
永和區,15,17181,3,POINT (121.5143 24.9957),9869.0,42.55864035853559
十分街,2,302,1,POINT (121.775807 25.04193),175.0,42.05298013245033
光華路,2,67,1,POINT (121.4675 25.0821),40.0,40.298507462686565
中正區,13,1358,4,POINT (121.5265 25.019),811.0,40.27982326951399
中山區,17,2232,6,POINT (121.5417 25.0453),1384.0,37.992831541218635
水源路,2,105,1,POINT (121.4978 25.0231),68.0,35.23809523809524
中正路,16,14295,3,POINT (121.3639 24.9069),9369.0,34.45960125918153
中和區,20,28141,9,POINT (121.506 24.9799),18687.0,33.59511033723038
中山路,14,4839,4,POINT (121.3697 24.9345),3275.0,32.32072742302128
四維路,3,953,1,POINT (121.421825 25.021171),653.0,31.47953830010493
和一路,3,176,1,POINT (121.7643 25.1546),121.0,31.25
大觀路,3,3705,1,POINT (121.4313 24.9984),2569.0,30.6612685560054
靜安路,3,1101,1,POINT (121.688 25.0078),771.0,29.972752043596728
信義區,13,2103,3,POINT (121.5679 25.0286),1475.0,29.862101759391347
東勢街,2,136,1,POINT (121.7481 25.0833),96.0,29.411764705882355
基隆市安樂區,18,2084,7,POINT (121.7232 25.121),1487.0,28.646833013435703
鶯歌區,10,7632,4,POINT (121.3376 24.9409),5476.0,28.249475890985327
三重區,32,25952,9,POINT (121.467 25.0431),18771.0,27.670314426633784
鎮前街,2,293,1,POINT (121.410902 24.981593),215.0,26.621160409556317
內湖區,17,2886,5,POINT (121.5908 25.0609),2122.0,26.47262647262647
萬華區,12,1214,5,POINT (121.5033 25.026),896.0,26.194398682042834
東信路,3,141,1,POINT (121.767 25.127),105.0,25.53191489361702
中華路,5,1994,2,POINT (121.3729 24.9304),1499.0,24.82447342026078
士林區,20,1608,7,POINT (121.5229 25.0799),1242.0,22.761194029850746
祥豐街,3,260,1,POINT (121.7639 25.142),206.0,20.76923076923077
臺北市信義區,7,6771,1,POINT (121.5686 25.026),5425.0,19.878895288731353
長安街,3,678,1,POINT (121.6928 25.0771),555.0,18.141592920353983
中山二,3,290,1,POINT (121.7407 25.1371),240.0,17.24137931034483
文山區,25,2602,6,POINT (121.5836 24.9764),2158.0,17.06379707916987
成泰路,4,3846,2,POINT (121.4349 25.0758),3218.0,16.328653146125845
淡海路,2,946,1,POINT (121.4243 25.1816),798.0,15.644820295983086
明德路,4,1222,2,POINT (121.464447 24.98031),1051.0,13.993453355155482
臺北市中山區,3,2782,2,POINT (121.5402 25.0626),2432.0,12.580877066858376
臺北市內湖區,5,477,1,POINT (121.5887 25.0688),417.0,12.578616352201259
瓊泰路,2,1278,1,POINT (121.4467 25.0306),1128.0,11.737089201877934
南榮路,3,224,1,POINT (121.7439 25.1194),199.0,11.160714285714286
茄苳路,3,1428,2,POINT (121.672058 25.069255),1275.0,10.714285714285714
臺北市士林區,8,2139,1,POINT (121.5029 25.0898),1947.0,8.976157082748948
民生路,5,2110,1,POINT (121.4768 25.0137),1922.0,8.909952606635072
臺北市北投區,8,4700,2,POINT (121.5142 25.1149),4319.0,8.106382978723405
大同區,14,1310,2,POINT (121.4993 25.023),1205.0,8.015267175572518
自強路,3,1220,1,POINT (121.4903 25.0626),1176.0,3.606557377049181
